[2026-04-04T12:52:43.842743] 🔥 EMERGENCY ALERT: SPARK DETECTED | Zone/Location: Admin Block (Camera: OCR) | Confidence: 96.2% | Time: 2026-04-04 12:52:43 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0bc435e2e39931036ee50.jpg
[2026-04-04T13:14:17.704393] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.8% | Time: 2026-04-04 13:14:17 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c151b184a370274d422a.jpg
[2026-04-04T13:14:55.794201] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.2% | Time: 2026-04-04 13:14:55 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c177b184a370274d424e.jpg
[2026-04-04T13:15:28.298451] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.7% | Time: 2026-04-04 13:15:28 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c198b184a370274d425c.jpg
[2026-04-04T13:15:34.613765] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.8% | Time: 2026-04-04 13:15:34 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c19eb184a370274d4260.jpg
[2026-04-04T13:15:43.714577] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.1% | Time: 2026-04-04 13:15:43 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c1a7b184a370274d4265.jpg
[2026-04-04T13:16:26.558198] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.2% | Time: 2026-04-04 13:16:26 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c1d2b184a370274d426b.jpg
[2026-04-04T13:16:59.847451] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.7% | Time: 2026-04-04 13:16:59 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c1f3b184a370274d4277.jpg
[2026-04-04T13:17:04.948990] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 83.1% | Time: 2026-04-04 13:17:04 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c1f8b184a370274d427a.jpg
[2026-04-04T13:17:14.233974] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 75.1% | Time: 2026-04-04 13:17:14 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c202b184a370274d427b.jpg
[2026-04-04T13:17:20.558375] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.2% | Time: 2026-04-04 13:17:20 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c208b184a370274d427e.jpg
